x,y,label
-8.717458140567638,4.209909997830672,0
5.819168027234278,-7.709905372314173,2
7.040175934090076,6.4438964371531275,1
-9.153192339258439,6.521393928049179,0
5.543263512024813,-8.155706920063743,2
-9.428109556059102,4.4795104163485755,0
-10.197975950787313,5.749616208436883,0
8.714738105727852,8.302240863545805,1
9.003709039315993,7.168930628873255,1
7.425561118388794,-10.264191914640477,2
5.032490573930366,-8.301468247128886,2
4.08785121117579,-8.881472913456161,2
-8.31263879253409,4.084660537740269,0
9.285855973843079,3.9497780040011015,1
5.909002970912735,-9.189768776458541,2
8.181544144394685,6.650646068742121,1
9.448336260729054,3.1875742472151893,1
6.798824954077491,-9.303134874584448,2
7.809344118989879,8.320798334388636,1
6.82393649326561,-9.955256938257655,2
-10.8586567514366,4.304704417799513,0
8.694829962058435,6.445219292277811,1
8.065695604835707,5.834239677792464,1
-9.36209776055845,4.407602954663347,0
-11.016371459784294,2.716315036431681,0
-9.359612678109803,5.114293976842055,0
8.360595706709812,6.475402980134505,1
9.113349968071327,6.050260087573598,1
6.293496649250877,-7.555977729633564,2
7.3876530532696,5.248437349461358,1
-9.231169619068451,4.063235463617243,0
7.655926055790311,-7.452009276323597,2
-9.678637634436049,2.2632587324213564,0
-9.67992053876446,6.015041593632269,0
-10.443523263218623,3.8274218071556856,0
-8.034335235473922,5.544536716998606,0
6.403560189737393,-8.281849927231264,2
-8.628063811633046,4.094392059963779,0
8.570761522942272,6.3045528445761585,1
-9.73375578516598,6.385542819191883,0
9.34563979200803,6.185055724782797,1
-10.428349118514191,5.93505074306763,0
8.003789501622013,-7.397647445402909,2
6.3572110007920255,-8.159621811588035,2
7.500615180838027,-8.923466757994817,2
7.620164726490773,-7.794359144383013,2
6.884143137389646,-8.096671912716678,2
8.151053663739962,-7.206153602125203,2
8.840067325292928,5.39112417030388,1
8.660998365161866,5.738659662187024,1
6.429661238651441,-8.536797095099892,2
-9.174345457677287,5.748511491075877,0
6.881391040001771,-9.903262174599785,2
-11.517062900456883,4.300254426986615,0
8.310878360504402,6.466730320468751,1
7.455280474252467,-8.439021053388576,2
-7.437556743854352,3.4834080641150402,0
7.019091183596865,-8.876339282629118,2
6.310732090819743,-8.816104086865339,2
10.23729820341564,-9.154491604280095,2
9.07920469157069,4.979297625040164,1
9.413484675225572,5.471384661978003,1
-8.56396507526406,5.902420884407848,0
6.9720564350158085,-7.461917476278686,2
6.249162612862433,-8.895047045532596,2
-9.347508017541632,4.381461172662916,0
7.228586561838335,-8.55607021091723,2
8.485165223470137,-9.452567054204618,2
8.386210621675811,5.848588788420257,1
-11.158815631908467,4.653487712317912,0
7.737911968434663,-7.97578356318245,2
7.287153917324014,-8.291426418908108,2
8.162111583094752,5.441195392472007,1
-9.678165832774662,6.125083526046549,0
6.669853060201383,-8.46492388675843,2
-10.22196589003337,6.010942492557606,0
6.672291029477512,-8.258528797726466,2
6.463631558990805,-8.408609147664738,2
9.652100772428206,6.769159178443343,1
9.326398801578941,5.792679875753783,1
7.193535929558107,-7.250214629892843,2
7.400372866252787,-7.284028799643693,2
-12.286829405076423,2.2042028479987072,0
8.048852572718177,7.018856466663179,1
-8.836518081173741,5.164553513355277,0
7.0204627996032505,-7.459140368542857,2
7.810483722185722,-7.325970992326647,2
6.146041317781076,-8.60625493018497,2
6.145751289820115,-7.071242803001011,2
6.627447112881395,-9.582531096442276,2
-8.907459078504216,4.455047156606295,0
9.03653490546266,7.09034186810992,1
7.070281433781813,6.970995233266796,1
8.090742385667717,5.794790044387005,1
-8.621442293488029,6.054862204828716,0
6.709044163112373,6.601972760723632,1
8.610080001629326,7.643912853520448,1
6.0454404967351625,-7.291674101397096,2
8.426162714452115,-9.765512411120412,2
8.83242591554833,7.403878790539676,1
4.71645209820419,-6.736284829652302,2
-9.224788610419761,5.403034687793702,0
7.390612294157379,-8.312666672789765,2
-9.566621531814025,6.195711520313476,0
-7.9744441037599945,4.335735686999563,0
